kitchenSlug,kitchenCode,kitchenName,kitchenStatus,kitchenDescription,contracts,itemId,itemType,sortOrder,code,articleNumber,name,price,widthMm,heightMm,depthMm,componentKey,iconKey,colorKey,isLocked,isActive,infoText,productImagePath,productInfoPdfPath,productInfoSummary,productInfoKeyFacts,productInfoExtractedText,productInfoUpdatedAt,createdAt,updatedAt
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637g000dsnt4sr5mo61a,COMPONENT,10,CAB-WALL-AB105807-1,H6002,Wall Cabinet 1 (600 x 720 x 340 mm),149.00,,,,wall-cabinet-1,wall_cabinet_plain,#00ffbf,false,true,"H6002, 2 adjustable shelves",,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637j000fsnt4x9gjkabu,COMPONENT,20,CAB-WALL-AB105807-2,H6002,Wall Cabinet 2 (600 x 720 x 340 mm),149.00,,,,wall-cabinet-2,wall_cabinet_plain,#00ffbf,false,true,"H6002, 2 adjustable shelves",,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637k000hsnt4lmhnd8is,COMPONENT,30,CAB-WALL-AB105807-3,H6002,Wall Cabinet 3 (600 x 720 x 340 mm),149.00,,,,wall-cabinet-3,wall_cabinet_plain,#394c00,false,true,"H6002, 2 adjustable shelves",,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637l000jsnt4xskzokeq,COMPONENT,40,CAB-HOOD-AB105807-600,FH664621E + HD6002,Flat Screen Extractor Hood + Cabinet + Filter,349.00,,,,wall-cabinet-4,wall_cabinet_plain,#394c00,false,true,"HD6002, light hood setup",,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637m000lsnt4ek79ng0i,COMPONENT,42,HOOD-AB105807-FH664621E,FH 664 621 S,FH664621E Extractor Hood,349.00,,,,extractor-hood,extractor_hood,#394c00,false,false,"Flat pull-out hood, 60 cm",/product-images/email/fh664621s-flat-hood.jpg,/product-info/fh-664-621-s-product-info.pdf,Flachschirmhaube FH 664 621 S fuer eine 60-cm-Kuechenloesung. Die aktuelle Produktinformation nennt Energieklasse A und bis zu 70 dB Betriebsgeraesch.,"Energieklasse: A | Geraeusch: max. 70 dB | Breite: 60 cm | Luftleistung: 170-415 m3/h | Betriebsart: Abluft / Umluft | Jahresverbrauch: 24.8 kWh/Jahr. | Geraetemasse H x B x T (mm): 173,0 x 599 x 303.","Produktname: AMICA FH 664 621 S Flachschirmhaube, 60 cm.
Wichtige Punkte:
- Teleskophaube / Flachschirmhaube in Schwarz mit mechanischen Schaltern.
- Energieklasse A, Jahresverbrauch 24.8 kWh, Fluid-Dynamic-Effizienzklasse B.
- 3 Leistungsstufen, Luftleistung 170-415 m3/h, Geraeusch 49-70 dB.
- 2 LED-Leuchten, 2 spuelmaschinengeeignete Aluminium-Fettfilter.
Auswahlhinweise:
- Vor der Bestellung Einbauposition und Luftfuehrung pruefen.",Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637n000nsnt4fkfq4scr,COMPONENT,50,SINKBASE-AB105807-600,,Sink Base Cabinet (600 x 600 x 878 mm),0.00,,,,base-module-2,sink_base,springgreen,true,true,Blanco Botton Pro 45/2 waste system,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637o000psnt4bmn0m91h,COMPONENT,60,DISH-AB105807-600,A-EGSPV597210 + TGV60,Fully integrated dishwasher incl. furniture front,579.00,,,,base-module-3,dishwasher_base,#001f7f,false,true,"Fully integrated dishwasher, 60 cm",/product-images/email/a-egspv597210-dishwasher.jpg,/product-info/a-egspv597210-product-info-eco21.pdf,"Vollintegrierter 60-cm-Geschirrspueler fuer den Einbau hinter einer Moebelfront. Die aktuelle Produktinformation nennt 12 Massgedecke, Energieklasse D und 5 Programme.",Energieklasse: D | Energieverbrauch: 82 kWh / 100 Zyklen. | Wasserverbrauch: 11.0 l/Zyklus. | Geraeusch: 49 dB | Breite: 60 cm | Geraetemasse H x B x T (mm): 815 x 598 x 550. | Einbaumasse H x B x T (mm): 820 - 870 x 600 x 580. | Tiefe bei geoeffneter Tuer (mm): 1150. | Programme: 5 | Kapazitaet: 12 Massgedecke,"Produktname: Architecto / AMICA A-EGSPV597210 Geschirrspueler, 60 cm.
Wichtige Punkte:
- Produkttyp: vollintegrierter Einbau-Geschirrspueler.
- 12 Massgedecke, 5 Programme, 4 Temperaturen.
- Energieklasse D, 82 kWh / 100 Zyklen, 11.0 l / Zyklus.
- Energieverbrauch: 82 kWh / 100 Zyklen.
- Wasserverbrauch: 11.0 l/Zyklus.
- Geraeusch: 49 dB(A), Klasse C.
- Geraetemasse H x B x T (mm): 815 x 598 x 550.
- Einbaumasse H x B x T (mm): 820 - 870 x 600 x 580.
- Tiefe bei geoeffneter Tuer (mm): 1150.
- Ausstattung: Aquastop, Extra Dry, OpenDry, halbe Beladung, Startzeitvorwahl 3/6/9 h.
Auswahlhinweise:
- Vor der Bestellung Einbaumass, Frontintegration und Anschlussposition pruefen.",Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637q000rsnt49yr89n26,COMPONENT,65,TOP-AB105807,,Worktop,0.00,,,,worktop,worktop,springgreen,true,true,Worktop included with the default kitchen configuration,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637q000tsnt4vujw2kzh,COMPONENT,70,OVEN-AB105807-600-HOB,,Built-in Oven and Hob (600 x 600 x 878 mm),449.00,,,,oven-module,oven_base,springgreen,true,true,Built-in oven + induction hob,/product-images/email/ebx943600s-oven.jpg,/product-info/ebx-943-600-s-product-info.pdf,"Kombinierte Auswahl aus Einbaubackofen EBX 943 600 S und Induktionskochfeld OL-KMI 754 000 E. Die aktuellen Produktinformationen nennen 77 l Garraum, 9 Backofenfunktionen sowie 4 Kochzonen mit 9 Leistungsstufen.","Backofen: Energieklasse A | Backofen: Energieverbrauch: 0.99 kWh conventional / 0.83 kWh hot air. | Backofen: 77 l Volumen, 9 Funktionen | Backofen: Geraetemasse H x B x T (mm): 595 x 595 x 575. | Backofen: Einbaumasse H x B x T (mm): 595,0 x 560 x 560. | Kochfeld: 60 cm, 4 Kochzonen | Kochfeld: Geraetemasse B x T (mm): 590 x 520. | Kochfeld: Ausschnittmasse B x T (mm): 560 x 490. | Kochfeld: 9 Leistungsstufen | Set: Backofen + Induktionskochfeld","Produktname: AMICA EBX 943 600 S Backofen + AMICA OL-KMI 754 000 E Induktionskochfeld.
Wichtige Punkte:
- Backofen: Einbau-Elektrobackofen mit 77 l Volumen, Energieklasse A und 9 Funktionen.
- Backofen: Energieverbrauch: 0.99 kWh conventional / 0.83 kWh hot air.
- Backofen: Geraetemasse H x B x T (mm): 595 x 595 x 575.
- Backofen: Einbaumasse H x B x T (mm): 595,0 x 560 x 560.
- Backofen: SensorControl Timer, versenkbare Knebel, CoolDoor3, Steam Clean.
- Kochfeld: autarkes Induktionskochfeld, 60 cm, 4 Kochzonen mit Booster.
- Kochfeld: Geraetemasse B x T (mm): 590 x 520.
- Kochfeld: Ausschnittmasse B x T (mm): 560 x 490.
- Kochfeld: 9 Leistungsstufen, Timer, Restwaermeanzeige, Topferkennung, Kindersicherung.
Auswahlhinweise:
- Vor der Bestellung Nischenmass, Anschlusswert und Elektroanschluss pruefen.",Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637s000vsnt4hkhwpmsu,COMPONENT,80,CAB-BASE-AB105807-US60,US60,Base cabinet with drawer 600/600 mm,219.00,,,,drawer-module,drawer_base_two,#ffbf00,false,true,US60 base storage cabinet,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
